"Institution ID","Institution Name","Current Region ID","Current Region","Current District ID","Current District","Verified Institution Location","Verified Administrative District/Council","Verified Region","Correct District ID","Source","Confidence","Action"
"100001","Nelson Mandela African Institution of Science and Technology (NM-AIST)","1","Arusha","1002","Arusha City","Arusha","Not established by TCU head-office field","Arusha","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"100002","Tumaini University Makumira (TUMA)","1","Arusha","1002","Arusha City","Arusha","Not established by TCU head-office field","Arusha","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"100003","University of Arusha (UoA)","1","Arusha","1002","Arusha City","Arusha","Not established by TCU head-office field","Arusha","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"100004","St. Augustine University of Tanzania, Arusha Centre","1","Arusha","1002","Arusha City","Arusha","Not established by TCU head-office field","Arusha","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200001","University of Dar es Salaam (UDSM)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200002","Open University of Tanzania (OUT)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200003","Muhimbili University of Health and Allied Sciences (MUHAS)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200004","Ardhi University (ARU)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200005","Kairuki University (KU), formerly HKMU","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200006","Aga Khan University (AKU)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200007","St. Joseph University in Tanzania (SJUIT)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200008","Kampala International University in Tanzania (KIUT)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200009","United African University of Tanzania (UAUT)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
